,Gradient_0,Gradient_1,Gradient_2,Gradient_3,Gradient_4
Easy_Math_Task,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Finger_Tapping_Task,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
Friend_Task,0.05335777,-0.029923705,-0.10770592,0.040008621,0.124890218
GoNoGo_Task,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
Hard_Math_Task,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Memory_Task,-0.016245814,0.004836931,-0.166685484,0.151508409,0.06937091
Movie_Task-bridge,0.038746425,0.099305514,-0.366494178,0.006527394,0.223090865
Movie_Task-incept,-0.071676786,0.167172575,-0.311553447,0.016855175,0.110801794
One-Back_Task,-0.054175274,0.109761933,0.352458414,-0.112942158,-0.025580638
Reading_Task,-0.102151252,-0.02267263,-0.26553856,0.039239296,0.034607611
Two-Back_Task-faces,0.041169565,0.307960139,0.254058783,-0.151804839,-0.118959976
Two-Back_Task-scenes,-0.012657018,0.377850234,0.235790187,-0.132261081,-0.16764315
You_Task,-0.021150619,-0.040841849,-0.078681229,0.11023981,0.129910408
Zero-Back_Task,0.002753698,0.071499126,0.236535868,-0.048768775,0.047644385
