Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient_1,Gradient_2,Gradient_3,Gradient_4,Gradient_5
You_Task,subject_17,11,5.9000000000000075,8.0,3.300000000000002,8.700000000000005,5.6,1.0,4.500000000000018,1.0,1.0,3.000000000000009,5.600000000000005,1.8999999999999975,1.0,5.500000000000009,10.0,10.0,-0.021150619,-0.040841849,-0.078681229,0.11023981,0.129910408
You_Task,subject_17,13,8.09999999999999,5.400000000000009,1.0,10.0,7.299999999999993,1.0,9.499999999999991,1.0,3.2,6.500000000000012,3.100000000000001,2.4999999999999996,2.0,5.500000000000016,9.0,9.299999999999992,-0.021150619,-0.040841849,-0.078681229,0.11023981,0.129910408
You_Task,subject_17,-10,6.599999999999997,1.0,1.0,10.0,6.30000000000001,1.0,6.299999999999996,1.0,3.500000000000002,1.0,5.500000000000012,4.600000000000003,1.0,5.0,10.0,6.799999999999996,-0.021150619,-0.040841849,-0.078681229,0.11023981,0.129910408
Friend_Task,subject_17,13,10.0,10.0,1.0,7.400000000000009,7.000000000000007,7.5999999999999925,9.0,1.0,5.600000000000005,3.2999999999999985,8.399999999999995,4.900000000000015,1.0,5.799999999999997,1.0999999999999985,10.0,0.05335777,-0.029923705,-0.10770592,0.040008621,0.124890218
Friend_Task,subject_17,11,7.399999999999994,10.0,1.0,10.0,3.0,8.600000000000005,7.9000000000000075,1.0,5.600000000000012,3.6000000000000165,5.699999999999998,6.800000000000011,1.0,8.599999999999987,3.1000000000000125,10.0,0.05335777,-0.029923705,-0.10770592,0.040008621,0.124890218
Friend_Task,subject_17,-13,10.0,9.999999999999996,2.0,10.0,2.0,9.299999999999995,2.900000000000001,1.5000000000000115,5.500000000000016,2.799999999999998,6.100000000000014,6.899999999999993,1.0,5.2000000000000135,1.0,10.0,0.05335777,-0.029923705,-0.10770592,0.040008621,0.124890218
Two-Back_Task-faces,subject_17,-10,10.0,8.0,8.899999999999993,10.0,1.2000000000000082,10.0,8.0,1.0,2.0,1.8000000000000116,8.39999999999999,10.0,8.200000000000006,5.5,5.300000000000001,10.0,0.041169565,0.307960139,0.254058783,-0.151804839,-0.118959976
Two-Back_Task-faces,subject_17,8,9.499999999999986,7.69999999999999,10.0,10.0,1.0,8.600000000000005,9.0,1.0,8.699999999999998,1.9999999999999991,10.0,10.0,10.0,5.600000000000016,5.8,10.0,0.041169565,0.307960139,0.254058783,-0.151804839,-0.118959976
Two-Back_Task-scenes,subject_17,-15,10.0,1.0,10.0,10.0,1.0,7.79999999999999,7.399999999999994,2.200000000000008,9.0,1.800000000000008,10.0,8.599999999999987,8.199999999999992,5.000000000000018,2.500000000000005,7.499999999999994,-0.012657018,0.377850234,0.235790187,-0.132261081,-0.16764315
Two-Back_Task-scenes,subject_17,12,10.0,1.0,8.09999999999999,10.0,1.0,9.499999999999988,7.499999999999994,1.0,6.399999999999997,2.4000000000000012,9.0,9.999999999999993,8.0,5.600000000000005,5.6999999999999975,10.0,-0.012657018,0.377850234,0.235790187,-0.132261081,-0.16764315
Easy_Math_Task,subject_17,-15,10.0,1.0,10.0,10.0,1.0,1.0,7.499999999999992,1.0,9.0,1.0,10.0,7.9000000000000075,1.0,2.700000000000012,6.400000000000002,10.0,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Easy_Math_Task,subject_17,-6,9.0,10.0,10.0,10.0,1.0,1.0,10.0,7.499999999999995,6.500000000000005,8.600000000000005,4.8000000000000025,9.199999999999996,8.49999999999999,1.7999999999999998,10.0,8.0,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Easy_Math_Task,subject_17,-6,10.0,1.0,10.0,10.0,1.0,3.0,8.19999999999999,1.0,8.0,1.0,10.0,10.0,1.0,3.0,3.100000000000009,10.0,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Hard_Math_Task,subject_17,-11,10.0,1.0,10.0,10.0,1.0,1.0,6.400000000000006,1.0,10.0,1.0,10.0,10.0,1.0,1.0,2.3,8.699999999999989,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Hard_Math_Task,subject_17,5,3.100000000000001,5.700000000000012,10.0,10.0,1.0,6.500000000000012,10.0,4.500000000000018,10.0,10.0,10.0,4.000000000000013,1.0,1.0,7.299999999999993,7.199999999999994,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Hard_Math_Task,subject_17,-5,10.0,1.0,10.0,10.0,1.0,4.000000000000002,10.0,2.2000000000000117,10.0,1.0,10.0,10.0,1.0,3.200000000000001,4.100000000000001,9.99999999999999,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Reading_Task,subject_17,5,2.7999999999999976,1.1,1.0,10.0,1.0,3.800000000000001,6.500000000000012,1.0,8.299999999999995,2.9000000000000017,3.100000000000016,5.000000000000011,1.0,7.400000000000006,6.299999999999997,9.399999999999986,-0.102151252,-0.02267263,-0.26553856,0.039239296,0.034607611
Reading_Task,subject_17,-12,2.7000000000000015,5.8999999999999995,1.0,10.0,5.0,5.6000000000000005,7.0,1.0,6.200000000000003,1.6999999999999993,3.3000000000000127,3.100000000000016,1.0,8.09999999999999,2.0999999999999974,10.0,-0.102151252,-0.02267263,-0.26553856,0.039239296,0.034607611
Reading_Task,subject_17,11,7.399999999999999,1.0,1.0,10.0,1.0,8.29999999999999,7.100000000000007,1.0,6.099999999999997,3.7000000000000166,1.9,4.1,1.0,6.499999999999995,1.0,10.0,-0.102151252,-0.02267263,-0.26553856,0.039239296,0.034607611
Memory_Task,subject_17,11,3.099999999999999,10.0,1.0,8.499999999999991,8.0,8.200000000000006,9.99999999999999,4.200000000000017,3.1,1.0,8.8,8.0,1.0,10.0,9.799999999999986,10.0,-0.016245814,0.004836931,-0.166685484,0.151508409,0.06937091
Memory_Task,subject_17,5,8.300000000000006,7.399999999999993,7.100000000000003,9.999999999999986,5.400000000000016,10.0,10.0,1.0,5.900000000000004,3.3000000000000056,8.0,8.099999999999989,2.799999999999998,2.2000000000000117,10.0,10.0,-0.016245814,0.004836931,-0.166685484,0.151508409,0.06937091
Memory_Task,subject_17,6,3.0,8.700000000000005,6.899999999999994,10.0,1.0,3.0,6.099999999999996,2.8000000000000087,4.200000000000006,4.6000000000000005,3.7000000000000006,8.8,10.0,1.0,10.0,5.800000000000011,-0.016245814,0.004836931,-0.166685484,0.151508409,0.06937091
One-Back_Task,subject_17,12,10.0,1.0,7.700000000000008,10.0,1.0,4.700000000000001,4.800000000000014,1.0,10.0,1.0,10.0,10.0,4.00000000000001,6.299999999999997,1.7,8.59999999999999,-0.054175274,0.109761933,0.352458414,-0.112942158,-0.025580638
One-Back_Task,subject_17,-7,10.0,1.0,7.299999999999993,10.0,1.0,2.6000000000000085,6.400000000000006,1.0,10.0,1.0,10.0,10.0,1.0,7.500000000000005,1.800000000000008,10.0,-0.054175274,0.109761933,0.352458414,-0.112942158,-0.025580638
One-Back_Task,subject_17,8,9.599999999999994,1.0,9.099999999999993,10.0,1.0,2.0999999999999974,4.8999999999999995,1.0,10.0,1.0,10.0,10.0,6.1999999999999975,8.0,2.0999999999999996,8.0,-0.054175274,0.109761933,0.352458414,-0.112942158,-0.025580638
Zero-Back_Task,subject_17,-12,5.200000000000001,1.0,8.0,7.699999999999993,1.0,7.700000000000008,10.0,6.299999999999997,4.0,6.4999999999999964,2.799999999999999,2.800000000000016,7.599999999999998,4.7000000000000135,4.3000000000000025,10.0,0.002753698,0.071499126,0.236535868,-0.048768775,0.047644385
