METADATA:
Experiment Seed,Subject
9462486,054
Time after setup,11.557926800000132
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,14
EXPERIMENT DATA:,Movie Task
Start Time,74.47117570000046
ESQ,244.09446519999983,,Focus_response,3.700000000000006,Movie Task,1,054,,Marker Started at 7,Movie Task-incept
ESQ,249.11446380000052,,Past_response,1.5999999999999983,Movie Task,1,054,,Marker Started at 4,Movie Task-incept
ESQ,253.85195469999962,,Intrusive_response,2.000000000000015,Movie Task,1,054,,Marker Started at 10,Movie Task-incept
ESQ,259.13897460000044,,Deliberate_response,5.900000000000015,Movie Task,1,054,,Marker Started at 10,Movie Task-incept
ESQ,264.2104268000003,,Sounds_response,3.000000000000009,Movie Task,1,054,,Marker Started at 8,Movie Task-incept
ESQ,268.4316938000011,,Absorption_response,6.600000000000005,Movie Task,1,054,,Marker Started at 8,Movie Task-incept
ESQ,274.46870350000063,,Images_response,6.499999999999996,Movie Task,1,054,,Marker Started at 4,Movie Task-incept
ESQ,279.022402300001,,Problem_response,3.000000000000009,Movie Task,1,054,,Marker Started at 8,Movie Task-incept
ESQ,284.1104360999998,,Self_response,6.7999999999999945,Movie Task,1,054,,Marker Started at 4,Movie Task-incept
ESQ,290.0980675999999,,Other_response,6.500000000000012,Movie Task,1,054,,Marker Started at 10,Movie Task-incept
ESQ,294.25168250000024,,Detailed_response,3.0000000000000124,Movie Task,1,054,,Marker Started at 9,Movie Task-incept
ESQ,300.39128750000054,,Future_response,7.100000000000007,Movie Task,1,054,,Marker Started at 9,Movie Task-incept
ESQ,308.11449970000103,,Emotion_response,5.10000000000001,Movie Task,1,054,,Marker Started at 8,Movie Task-incept
ESQ,314.7515147000013,,Distracting_response,5.599999999999998,Movie Task,1,054,,Marker Started at 5,Movie Task-incept
ESQ,319.20450150000033,,Knowledge_response,6.399999999999996,Movie Task,1,054,,Marker Started at 4,Movie Task-incept
ESQ,331.3982436999995,,Words_response,7.199999999999995,Movie Task,1,054,,Marker Started at 2,Movie Task-incept
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,350.4497943000006
ESQ,362.30631900000117,,Absorption_response,6.399999999999996,Experience Sampling Questions,1,054,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,365.3745283999997,,Past_response,3.0,Experience Sampling Questions,1,054,,Marker Started at 3,Movie Task-Movie Task-incept
ESQ,371.4308299000004,,Images_response,3.1999999999999993,Experience Sampling Questions,1,054,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,376.35145100000045,,Problem_response,1.0,Experience Sampling Questions,1,054,,Marker Started at 10,Movie Task-Movie Task-incept
ESQ,379.5545409000006,,Emotion_response,6.0,Experience Sampling Questions,1,054,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,383.80766779999976,,Detailed_response,1.0,Experience Sampling Questions,1,054,,Marker Started at 10,Movie Task-Movie Task-incept
ESQ,387.00982230000045,,Future_response,2.699999999999999,Experience Sampling Questions,1,054,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,391.34758599999986,,Distracting_response,2.7000000000000015,Experience Sampling Questions,1,054,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,394.16756160000114,,Intrusive_response,2.4000000000000012,Experience Sampling Questions,1,054,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,396.9523898000007,,Sounds_response,2.8000000000000123,Experience Sampling Questions,1,054,,Marker Started at 9,Movie Task-Movie Task-incept
ESQ,399.53669919999993,,Knowledge_response,2.8000000000000016,Experience Sampling Questions,1,054,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,401.9876462000011,,Focus_response,3.300000000000009,Experience Sampling Questions,1,054,,Marker Started at 8,Movie Task-Movie Task-incept
ESQ,404.57457890000114,,Words_response,2.9000000000000052,Experience Sampling Questions,1,054,,Marker Started at 7,Movie Task-Movie Task-incept
ESQ,407.85959750000075,,Self_response,4.100000000000003,Experience Sampling Questions,1,054,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,414.2327062000004,,Deliberate_response,3.6000000000000094,Experience Sampling Questions,1,054,,Marker Started at 8,Movie Task-Movie Task-incept
ESQ,417.6848535000008,,Other_response,3.1000000000000054,Experience Sampling Questions,1,054,,Marker Started at 7,Movie Task-Movie Task-incept
 
Runtime Mod,10
EXPERIMENT DATA:,Movie Task
Start Time,417.6970977000001
