METADATA:
Experiment Seed,Subject
6757310,084
Time after setup,350.39932319999207
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,708.705572100007
gonogo START,708.7056094,,,,GoNoGo Task,1,084,,,
Go/NoGo Initialized,739.858157300012,,,,GoNoGo Task,1,084,,,
Stimulus start,740.6667611000012,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,741.4265738000104,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,741.9826677000092,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,742.74448329999,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,743.3065039000066,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,744.5639430000156,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,745.6195220999944,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,746.8803785000055,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,747.6928390999965,,,,GoNoGo Task,1,084,,Type: NoGo,
Stimulus end,748.4495565000107,True,,,GoNoGo Task,1,084,,Type: NoGo,
Stimulus start,749.2623194000043,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,750.2679162000131,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,751.324010100012,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,752.5856874999881,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,753.1416438999877,,,,GoNoGo Task,1,084,,Type: NoGo,
Stimulus end,754.4030866000103,True,,,GoNoGo Task,1,084,,Type: NoGo,
Stimulus start,755.2171312000137,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,756.473167899996,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,757.0284346000117,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,758.0398095000128,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,758.5945890000148,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,759.6077832999872,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,760.1654070999939,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,761.1757216000115,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,761.7315452999901,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,762.993868599995,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,763.8053182000003,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,765.0634980000032,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,766.1253333000059,,,,GoNoGo Task,1,084,,Type: NoGo,
Stimulus end,767.1319049999875,True,,,GoNoGo Task,1,084,,Type: NoGo,
Stimulus start,767.9377977999975,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,769.1987624999892,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,769.7537606999977,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,770.5164420999936,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,771.3279192000045,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,772.5859715999977,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,773.6390711000131,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,774.6528821999964,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,775.709984599991,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,776.9716803999909,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,777.7824289000127,,,,GoNoGo Task,1,084,,Type: NoGo,
Stimulus end,778.5383050999953,True,,,GoNoGo Task,1,084,,Type: NoGo,
Stimulus start,779.3515175000066,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,780.6091539000045,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,781.416008900007,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,782.42570349999,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,782.9818971999921,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,783.7435774999904,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,784.7980852999899,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,786.0624265999941,noResponse,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,786.6173805000144,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,787.8797190999903,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,788.6856207000092,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,789.4481382000085,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,790.5045437999943,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,791.26577920001,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,792.3206623000151,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,793.5848641000048,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,794.6464207000099,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,795.6542560000089,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,796.2093081999919,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,797.2210588000016,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,798.2829046999977,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,799.0403197999985,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,799.5948298000148,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,800.8573444999929,False,,,GoNoGo Task,1,084,,Type: Go,
Stimulus start,801.9192648000026,,,,GoNoGo Task,1,084,,Type: Go,
Stimulus end,802.9268384999887,False,,,GoNoGo Task,1,084,,Type: Go,
Go/NoGo Finished,802.9525559000031,,,,GoNoGo Task,1,084,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,802.9624006999948
ESQ,810.4858332000149,,Images_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,819.4876189999923,,Images_response,8.29999999999999,Experience Sampling Questions,1,084,,Marker Started at 2,GoNoGo Task
ESQ,819.4887710000039,,Past_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,833.2999074000109,,Past_response,6.000000000000014,Experience Sampling Questions,1,084,,Marker Started at 10,GoNoGo Task
ESQ,833.3003775000107,,Words_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,837.7687411000079,,Words_response,9.999999999999993,Experience Sampling Questions,1,084,,Marker Started at 8,GoNoGo Task
ESQ,837.7704978999973,,Deliberate_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,843.4733488000056,,Deliberate_response,5.800000000000011,Experience Sampling Questions,1,084,,Marker Started at 9,GoNoGo Task
ESQ,843.4738231000083,,Future_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,849.8450734000071,,Future_response,1.5999999999999992,Experience Sampling Questions,1,084,,Marker Started at 3,GoNoGo Task
ESQ,849.8468148999964,,Sounds_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,854.3319383999915,,Sounds_response,1.0,Experience Sampling Questions,1,084,,Marker Started at 8,GoNoGo Task
ESQ,854.3324502999894,,Problem_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,859.454942500015,,Problem_response,5.000000000000018,Experience Sampling Questions,1,084,,Marker Started at 10,GoNoGo Task
ESQ,859.4567443999986,,Self_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,869.745717999991,,Self_response,4.900000000000002,Experience Sampling Questions,1,084,,Marker Started at 2,GoNoGo Task
ESQ,869.7462719999894,,Detailed_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,874.2825853000104,,Detailed_response,2.699999999999998,Experience Sampling Questions,1,084,,Marker Started at 5,GoNoGo Task
ESQ,874.2843464000034,,Knowledge_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,881.8712718999886,,Knowledge_response,9.499999999999991,Experience Sampling Questions,1,084,,Marker Started at 7,GoNoGo Task
ESQ,881.8730016000045,,Intrusive_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,886.774000800011,,Intrusive_response,2.900000000000001,Experience Sampling Questions,1,084,,Marker Started at 2,GoNoGo Task
ESQ,886.7757190999982,,Other_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,890.2271803999902,,Other_response,3.900000000000001,Experience Sampling Questions,1,084,,Marker Started at 3,GoNoGo Task
ESQ,890.228938699991,,Distracting_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
ESQ,896.0986967000063,,Distracting_response,2.300000000000012,Experience Sampling Questions,1,084,,Marker Started at 9,GoNoGo Task
ESQ,896.1004340999934,,Absorption_start,,Experience Sampling Questions,1,084,,,GoNoGo Task
