METADATA:
Experiment Seed,Subject
8864799,Sub203
Time after setup,18.38725529999647
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-15
EXPERIMENT DATA:,Movie Task
Start Time,28.244374899994
ESQ,102.41688190000423,,Deliberate_response,7.499999999999991,Movie Task,1,Sub203,,Marker Started at 5,Movie Task-bridge
ESQ,111.04160529999353,,Emotion_response,8.500000000000005,Movie Task,1,Sub203,,Marker Started at 7,Movie Task-bridge
ESQ,120.06518209999194,,Words_response,1.0,Movie Task,1,Sub203,,Marker Started at 4,Movie Task-bridge
ESQ,127.92075089999707,,Sounds_response,4.000000000000006,Movie Task,1,Sub203,,Marker Started at 7,Movie Task-bridge
ESQ,131.60691149999911,,Absorption_response,10.0,Movie Task,1,Sub203,,Marker Started at 10,Movie Task-bridge
ESQ,142.6168708000041,,Knowledge_response,4.0,Movie Task,1,Sub203,,Marker Started at 4,Movie Task-bridge
ESQ,155.1099019999965,,Focus_response,1.9999999999999991,Movie Task,1,Sub203,,Marker Started at 3,Movie Task-bridge
ESQ,160.79684490000363,,Distracting_response,1.0,Movie Task,1,Sub203,,Marker Started at 9,Movie Task-bridge
ESQ,167.97006829999737,,Past_response,1.0,Movie Task,1,Sub203,,Marker Started at 9,Movie Task-bridge
ESQ,172.95682910000323,,Self_response,1.0,Movie Task,1,Sub203,,Marker Started at 10,Movie Task-bridge
ESQ,177.52681779999693,,Other_response,10.0,Movie Task,1,Sub203,,Marker Started at 4,Movie Task-bridge
ESQ,181.9968291999976,,Detailed_response,8.0,Movie Task,1,Sub203,,Marker Started at 8,Movie Task-bridge
ESQ,195.75881319999462,,Problem_response,2.9999999999999982,Movie Task,1,Sub203,,Marker Started at 5,Movie Task-bridge
ESQ,202.1135990000039,,Images_response,7.999999999999992,Movie Task,1,Sub203,,Marker Started at 2,Movie Task-bridge
ESQ,211.721810499992,,Intrusive_response,5.9999999999999964,Movie Task,1,Sub203,,Marker Started at 5,Movie Task-bridge
ESQ,216.77459869999439,,Future_response,8.999999999999986,Movie Task,1,Sub203,,Marker Started at 4,Movie Task-bridge
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,250.88262679999752
ESQ,262.81191740000213,,Sounds_response,2.000000000000015,Experience Sampling Questions,1,Sub203,,Marker Started at 10,Movie Task-Movie Task-bridge
ESQ,273.27072749999934,,Emotion_response,8.000000000000007,Experience Sampling Questions,1,Sub203,,Marker Started at 10,Movie Task-Movie Task-bridge
ESQ,283.81187849999696,,Focus_response,1.9999999999999982,Experience Sampling Questions,1,Sub203,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,294.0524505999929,,Past_response,4.0,Experience Sampling Questions,1,Sub203,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,299.024093,,Distracting_response,1.0,Experience Sampling Questions,1,Sub203,,Marker Started at 10,Movie Task-Movie Task-bridge
ESQ,304.3445972000045,,Future_response,8.0,Experience Sampling Questions,1,Sub203,,Marker Started at 8,Movie Task-Movie Task-bridge
ESQ,315.3205350999924,,Intrusive_response,5.999999999999997,Experience Sampling Questions,1,Sub203,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,321.4085449999984,,Absorption_response,5.0000000000000036,Experience Sampling Questions,1,Sub203,,Marker Started at 6,Movie Task-Movie Task-bridge
ESQ,327.129686100001,,Knowledge_response,3.0000000000000018,Experience Sampling Questions,1,Sub203,,Marker Started at 6,Movie Task-Movie Task-bridge
ESQ,334.36880080000265,,Images_response,8.000000000000007,Experience Sampling Questions,1,Sub203,,Marker Started at 10,Movie Task-Movie Task-bridge
ESQ,342.72555170000123,,Problem_response,1.0,Experience Sampling Questions,1,Sub203,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,346.81207889999496,,Other_response,10.0,Experience Sampling Questions,1,Sub203,,Marker Started at 5,Movie Task-Movie Task-bridge
ESQ,352.9837254000013,,Detailed_response,7.499999999999994,Experience Sampling Questions,1,Sub203,,Marker Started at 2,Movie Task-Movie Task-bridge
ESQ,358.3369834000041,,Words_response,7.000000000000007,Experience Sampling Questions,1,Sub203,,Marker Started at 9,Movie Task-Movie Task-bridge
ESQ,364.29266559999087,,Deliberate_response,7.499999999999993,Experience Sampling Questions,1,Sub203,,Marker Started at 3,Movie Task-Movie Task-bridge
ESQ,368.4794886000018,,Self_response,1.0,Experience Sampling Questions,1,Sub203,,Marker Started at 8,Movie Task-Movie Task-bridge
 
Runtime Mod,-12
EXPERIMENT DATA:,Movie Task
Start Time,368.49453229999926
ESQ,415.4507137000037,,Deliberate_response,5.0,Movie Task,1,Sub203,,Marker Started at 5,Movie Task-incept
ESQ,420.6203853000043,,Past_response,6.999999999999995,Movie Task,1,Sub203,,Marker Started at 3,Movie Task-incept
ESQ,427.1430690999987,,Absorption_response,7.499999999999993,Movie Task,1,Sub203,,Marker Started at 3,Movie Task-incept
ESQ,436.2831926999934,,Knowledge_response,9.000000000000004,Movie Task,1,Sub203,,Marker Started at 3,Movie Task-incept
ESQ,444.12233329999435,,Focus_response,7.9999999999999964,Movie Task,1,Sub203,,Marker Started at 7,Movie Task-incept
ESQ,449.36033589999715,,Future_response,1.0,Movie Task,1,Sub203,,Marker Started at 2,Movie Task-incept
ESQ,458.81939029999194,,Sounds_response,4.5,Movie Task,1,Sub203,,Marker Started at 4,Movie Task-incept
ESQ,463.2041820000013,,Distracting_response,7.9999999999999964,Movie Task,1,Sub203,,Marker Started at 7,Movie Task-incept
ESQ,466.4907452999905,,Emotion_response,10.0,Movie Task,1,Sub203,,Marker Started at 8,Movie Task-incept
ESQ,474.9964536000043,,Detailed_response,7.999999999999989,Movie Task,1,Sub203,,Marker Started at 5,Movie Task-incept
ESQ,477.4825151999976,,Self_response,10.0,Movie Task,1,Sub203,,Marker Started at 10,Movie Task-incept
ESQ,481.8863917999988,,Other_response,10.0,Movie Task,1,Sub203,,Marker Started at 4,Movie Task-incept
ESQ,492.59425779999583,,Intrusive_response,7.499999999999995,Movie Task,1,Sub203,,Marker Started at 6,Movie Task-incept
ESQ,500.8684279000008,,Images_response,8.500000000000005,Movie Task,1,Sub203,,Marker Started at 3,Movie Task-incept
ESQ,505.12145109999983,,Problem_response,1.0,Movie Task,1,Sub203,,Marker Started at 7,Movie Task-incept
ESQ,512.9281270999927,,Words_response,9.000000000000004,Movie Task,1,Sub203,,Marker Started at 8,Movie Task-incept
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,550.0485348999937
ESQ,561.4828965999914,,Deliberate_response,7.500000000000009,Experience Sampling Questions,1,Sub203,,Marker Started at 10,Movie Task-Movie Task-incept
ESQ,566.9213500999904,,Words_response,1.0,Experience Sampling Questions,1,Sub203,,Marker Started at 7,Movie Task-Movie Task-incept
ESQ,572.9921516000031,,Problem_response,6.000000000000014,Experience Sampling Questions,1,Sub203,,Marker Started at 10,Movie Task-Movie Task-incept
