METADATA:
Experiment Seed,Subject
8864799,Sub203
Time after setup,18.387244099998497
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,28.244362800003728
Movie Task Start,28.24439629999688,,,,Movie Task,1,Sub203,,,
Movie Init,50.36677839999902,,,,Movie Task,1,Sub203,,,
Movie Start,50.366818800001056,,,,Movie Task,1,Sub203,,bridge.mp4,
ESQ,87.34871479999856,,Deliberate_start,,Movie Task,1,Sub203,,,Movie Task-bridge
ESQ,102.41688190000423,,Deliberate_response,7.499999999999991,Movie Task,1,Sub203,,Marker Started at 5,Movie Task-bridge
ESQ,102.41871489999176,,Emotion_start,,Movie Task,1,Sub203,,,Movie Task-bridge
ESQ,111.04160529999353,,Emotion_response,8.500000000000005,Movie Task,1,Sub203,,Marker Started at 7,Movie Task-bridge
ESQ,111.04332129999239,,Words_start,,Movie Task,1,Sub203,,,Movie Task-bridge
ESQ,120.06518209999194,,Words_response,1.0,Movie Task,1,Sub203,,Marker Started at 4,Movie Task-bridge
ESQ,120.06629999999132,,Sounds_start,,Movie Task,1,Sub203,,,Movie Task-bridge
ESQ,127.92075089999707,,Sounds_response,4.000000000000006,Movie Task,1,Sub203,,Marker Started at 7,Movie Task-bridge
ESQ,127.92246679999516,,Absorption_start,,Movie Task,1,Sub203,,,Movie Task-bridge
ESQ,131.60691149999911,,Absorption_response,10.0,Movie Task,1,Sub203,,Marker Started at 10,Movie Task-bridge
ESQ,131.60868779999146,,Knowledge_start,,Movie Task,1,Sub203,,,Movie Task-bridge
ESQ,142.6168708000041,,Knowledge_response,4.0,Movie Task,1,Sub203,,Marker Started at 4,Movie Task-bridge
ESQ,142.61865209999087,,Focus_start,,Movie Task,1,Sub203,,,Movie Task-bridge
ESQ,155.1099019999965,,Focus_response,1.9999999999999991,Movie Task,1,Sub203,,Marker Started at 3,Movie Task-bridge
