METADATA:
Experiment Seed,Subject
933948,Subject134
Time after setup,14.07745659997454
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,14
EXPERIMENT DATA:,Finger Tapping Task
Start Time,45.50433239998529
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,165.1668914000038
ESQ,190.86620029999176,,Self_response,2.200000000000008,Experience Sampling Questions,1,Subject134,,Marker Started at 8,Finger Tapping Task
ESQ,192.7155172000057,,Words_response,8.0,Experience Sampling Questions,1,Subject134,,Marker Started at 8,Finger Tapping Task
ESQ,201.13959559996147,,Detailed_response,7.999999999999991,Experience Sampling Questions,1,Subject134,,Marker Started at 3,Finger Tapping Task
ESQ,208.93058739998378,,Problem_response,1.9,Experience Sampling Questions,1,Subject134,,Marker Started at 5,Finger Tapping Task
ESQ,213.79966489999788,,Distracting_response,3.0,Experience Sampling Questions,1,Subject134,,Marker Started at 3,Finger Tapping Task
ESQ,217.6859805000131,,Knowledge_response,10.0,Experience Sampling Questions,1,Subject134,,Marker Started at 10,Finger Tapping Task
ESQ,223.04027060000226,,Other_response,6.200000000000006,Experience Sampling Questions,1,Subject134,,Marker Started at 8,Finger Tapping Task
ESQ,232.23077590001049,,Emotion_response,4.100000000000001,Experience Sampling Questions,1,Subject134,,Marker Started at 2,Finger Tapping Task
ESQ,235.75025969999842,,Absorption_response,3.8000000000000007,Experience Sampling Questions,1,Subject134,,Marker Started at 3,Finger Tapping Task
ESQ,240.58677960000932,,Deliberate_response,9.899999999999983,Experience Sampling Questions,1,Subject134,,Marker Started at 5,Finger Tapping Task
ESQ,245.59288239997113,,Future_response,3.6000000000000014,Experience Sampling Questions,1,Subject134,,Marker Started at 2,Finger Tapping Task
ESQ,251.01243249996332,,Focus_response,8.0,Experience Sampling Questions,1,Subject134,,Marker Started at 8,Finger Tapping Task
ESQ,253.81602789997123,,Sounds_response,2.0,Experience Sampling Questions,1,Subject134,,Marker Started at 2,Finger Tapping Task
ESQ,256.4333726000041,,Images_response,5.0,Experience Sampling Questions,1,Subject134,,Marker Started at 5,Finger Tapping Task
ESQ,261.60405470000114,,Past_response,2.0,Experience Sampling Questions,1,Subject134,,Marker Started at 2,Finger Tapping Task
ESQ,265.1917672000127,,Intrusive_response,6.600000000000012,Experience Sampling Questions,1,Subject134,,Marker Started at 10,Finger Tapping Task
 
Runtime Mod,-9
EXPERIMENT DATA:,Finger Tapping Task
Start Time,265.2154775999952
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,359.44976789999055
ESQ,373.85962219996145,,Absorption_response,6.0,Experience Sampling Questions,1,Subject134,,Marker Started at 6,Finger Tapping Task
ESQ,386.18609709996963,,Knowledge_response,6.299999999999995,Experience Sampling Questions,1,Subject134,,Marker Started at 5,Finger Tapping Task
ESQ,389.5897019999684,,Words_response,4.0,Experience Sampling Questions,1,Subject134,,Marker Started at 4,Finger Tapping Task
ESQ,391.3916648000013,,Sounds_response,7.0,Experience Sampling Questions,1,Subject134,,Marker Started at 7,Finger Tapping Task
ESQ,395.42825900000753,,Deliberate_response,3.0,Experience Sampling Questions,1,Subject134,,Marker Started at 3,Finger Tapping Task
ESQ,411.58954869996523,,Past_response,9.0,Experience Sampling Questions,1,Subject134,,Marker Started at 9,Finger Tapping Task
ESQ,414.70957830001134,,Intrusive_response,9.0,Experience Sampling Questions,1,Subject134,,Marker Started at 9,Finger Tapping Task
ESQ,418.97804020001786,,Images_response,4.200000000000006,Experience Sampling Questions,1,Subject134,,Marker Started at 7,Finger Tapping Task
ESQ,422.53155030001653,,Distracting_response,5.10000000000001,Experience Sampling Questions,1,Subject134,,Marker Started at 8,Finger Tapping Task
ESQ,429.30505789996823,,Focus_response,5.0,Experience Sampling Questions,1,Subject134,,Marker Started at 5,Finger Tapping Task
ESQ,432.90641130000586,,Self_response,7.0,Experience Sampling Questions,1,Subject134,,Marker Started at 7,Finger Tapping Task
ESQ,435.5273581999936,,Future_response,4.0,Experience Sampling Questions,1,Subject134,,Marker Started at 4,Finger Tapping Task
ESQ,442.24858720001066,,Problem_response,5.300000000000002,Experience Sampling Questions,1,Subject134,,Marker Started at 2,Finger Tapping Task
ESQ,444.5004584999988,,Emotion_response,3.0,Experience Sampling Questions,1,Subject134,,Marker Started at 3,Finger Tapping Task
ESQ,448.0349950999953,,Other_response,7.700000000000008,Experience Sampling Questions,1,Subject134,,Marker Started at 10,Finger Tapping Task
