METADATA:
Experiment Seed,Subject
933948,Subject134
Time after setup,14.07744600001024
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Finger Tapping Task
Start Time,45.504320100008044
Finger Tapping Start,60.376307099999394,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Block Start,60.37825429998338,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,63.38717000000179,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,68.40228959999513,False,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,72.4084533000132,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,77.33057910000207,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,78.32916899997508,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,78.76434220001101,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,80.76398009998957,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,81.14918289997149,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,85.15108460001647,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,85.56794129998889,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Block Start,93.57315399998333,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,96.57928710000124,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,97.73104939999757,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,100.72813539998606,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,101.61544449999928,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,102.61516929999925,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,103.14753640000708,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,107.15127560001565,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,107.52099009999074,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,111.51998579996871,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,111.94034259999171,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Block Start,117.9468901999644,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,120.9479910999653,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,125.95004219998373,False,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,126.94941999996081,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,129.655849999981,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,133.65609489998315,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,134.09175179997692,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,136.0915485000005,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,136.42724469996756,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial Start,138.42477149999468,,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Trial End,138.69570129999192,True,,,Finger Tapping Task,1,Subject134,,,
Finger Tapping Block Start,143.70025120000355,,,,Finger Tapping Task,1,Subject134,,,
