METADATA:
Experiment Seed,Subject
3372700,Subkect088
Time after setup,19.576823700102977
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-8
EXPERIMENT DATA:,Friend Task
Start Time,38.33043530001305
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,141.32985290000215
ESQ,169.9071387000149,,Past_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,178.31512060004752,,Emotion_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,183.10093220009003,,Absorption_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 10,Friend Task
ESQ,192.05947080010083,,Other_response,3.8000000000000007,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,201.58233780006412,,Problem_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,210.48945500003174,,Future_response,2.400000000000005,Experience Sampling Questions,1,Subkect088,,Marker Started at 7,Friend Task
ESQ,215.30931740009692,,Words_response,7.999999999999989,Experience Sampling Questions,1,Subkect088,,Marker Started at 5,Friend Task
ESQ,219.83118360000663,,Self_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,225.55289710010402,,Sounds_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,231.74010280007496,,Images_response,7.400000000000009,Experience Sampling Questions,1,Subkect088,,Marker Started at 10,Friend Task
ESQ,241.06512110005133,,Deliberate_response,8.299999999999992,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,248.6195321000414,,Distracting_response,4.400000000000017,Experience Sampling Questions,1,Subkect088,,Marker Started at 10,Friend Task
ESQ,254.5921979000559,,Focus_response,3.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,261.4980156000238,,Knowledge_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,265.7999358000234,,Intrusive_response,2.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 2,Friend Task
ESQ,271.2209882000461,,Detailed_response,9.099999999999987,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
 
Runtime Mod,8
EXPERIMENT DATA:,Friend Task
Start Time,271.24173410004005
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,368.3065036000917
ESQ,385.4129500000272,,Words_response,7.800000000000004,Experience Sampling Questions,1,Subkect088,,Marker Started at 9,Friend Task
ESQ,390.78384799999185,,Distracting_response,6.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,397.4557679001009,,Images_response,8.899999999999997,Experience Sampling Questions,1,Subkect088,,Marker Started at 8,Friend Task
ESQ,402.05796540004667,,Sounds_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 9,Friend Task
ESQ,407.54710020008497,,Future_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,415.00141380005516,,Other_response,6.599999999999995,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,419.5385953000514,,Past_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,424.0435186000541,,Problem_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,433.61779260006733,,Absorption_response,5.899999999999998,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,442.07305360003375,,Deliberate_response,4.700000000000006,Experience Sampling Questions,1,Subkect088,,Marker Started at 7,Friend Task
ESQ,449.0285916000139,,Detailed_response,8.200000000000006,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,454.3493975000456,,Self_response,9.699999999999985,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,459.0198871000903,,Knowledge_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 9,Friend Task
ESQ,467.02614060009364,,Emotion_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 9,Friend Task
ESQ,475.3175319000147,,Focus_response,1.9000000000000115,Experience Sampling Questions,1,Subkect088,,Marker Started at 9,Friend Task
ESQ,481.00524690002203,,Intrusive_response,3.2000000000000055,Experience Sampling Questions,1,Subkect088,,Marker Started at 7,Friend Task
 
Runtime Mod,5
EXPERIMENT DATA:,Friend Task
Start Time,481.0207043000264
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,569.3310252000811
ESQ,603.5511008000467,,Focus_response,5.000000000000011,Experience Sampling Questions,1,Subkect088,,Marker Started at 8,Friend Task
ESQ,608.3730694000842,,Distracting_response,5.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 5,Friend Task
ESQ,612.6248572000768,,Knowledge_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,617.0784499000292,,Detailed_response,9.299999999999992,Experience Sampling Questions,1,Subkect088,,Marker Started at 7,Friend Task
ESQ,621.5334858000278,,Past_response,8.699999999999989,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,624.2689297000179,,Words_response,8.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 8,Friend Task
ESQ,626.8373900000006,,Self_response,9.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 9,Friend Task
ESQ,630.2556100999936,,Sounds_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,636.4620008000638,,Emotion_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,640.330222300021,,Problem_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 2,Friend Task
ESQ,646.8867793000536,,Deliberate_response,5.300000000000006,Experience Sampling Questions,1,Subkect088,,Marker Started at 7,Friend Task
ESQ,653.140721200034,,Intrusive_response,4.000000000000006,Experience Sampling Questions,1,Subkect088,,Marker Started at 7,Friend Task
ESQ,658.3626948000165,,Other_response,3.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,663.5481250000885,,Future_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,667.4365408000303,,Images_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 5,Friend Task
ESQ,673.8749763000524,,Absorption_response,7.30000000000001,Experience Sampling Questions,1,Subkect088,,Marker Started at 10,Friend Task
 
Runtime Mod,-9
EXPERIMENT DATA:,You Task
Start Time,673.8958603000501
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,755.778005600092
ESQ,764.2115785999922,,Absorption_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 10,You Task
ESQ,768.8336165000219,,Detailed_response,9.099999999999987,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,You Task
ESQ,775.8724265000783,,Emotion_response,7.999999999999992,Experience Sampling Questions,1,Subkect088,,Marker Started at 2,You Task
