METADATA:
Experiment Seed,Subject
3372700,Subkect088
Time after setup,19.576813300023787
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Friend Task
Start Time,38.330422800034285
Self_Task_Start,69.69937160005793,,,,Friend Task,1,Subkect088,,,
Start_of_excited,73.78137920005247,,,,Friend Task,1,Subkect088,,,
End_of_excited,75.71654320007656,,,,Friend Task,1,Subkect088,right,,
Start_of_clumsy,79.7696600999916,,,,Friend Task,1,Subkect088,,,
End_of_clumsy,81.35409530007746,,,,Friend Task,1,Subkect088,left,,
Start_of_unintelligent,85.42394010000862,,,,Friend Task,1,Subkect088,,,
End_of_unintelligent,86.49174960004166,,,,Friend Task,1,Subkect088,left,,
Start_of_quarrelsome,90.54484420001972,,,,Friend Task,1,Subkect088,,,
End_of_quarrelsome,95.34877889999188,,,,Friend Task,1,Subkect088,right,,
Start_of_self-reliant,99.40173120005056,,,,Friend Task,1,Subkect088,,,
End_of_self-reliant,104.12238210008945,,,,Friend Task,1,Subkect088,left,,
Start_of_silent,108.17545720003545,,,,Friend Task,1,Subkect088,,,
End_of_silent,109.44301450008061,,,,Friend Task,1,Subkect088,left,,
Start_of_obedient,113.49587310000788,,,,Friend Task,1,Subkect088,,,
End_of_obedient,115.28099460003432,,,,Friend Task,1,Subkect088,left,,
Start_of_self-confident,119.35088340006769,,,,Friend Task,1,Subkect088,,,
End_of_self-confident,123.1207934000995,,,,Friend Task,1,Subkect088,right,,
Start_of_gossipy,127.19042640004773,,,,Friend Task,1,Subkect088,,,
End_of_gossipy,129.84276780008804,,,,Friend Task,1,Subkect088,left,,
Start_of_dominating,133.89574010006618,,,,Friend Task,1,Subkect088,,,
End_of_dominating,135.58068400004413,,,,Friend Task,1,Subkect088,right,,
Start_of_considerate,139.6504300000379,,,,Friend Task,1,Subkect088,,,
End_of_considerate,140.80124810000416,,,,Friend Task,1,Subkect088,right,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,141.3298378000036
ESQ,153.89883090008516,,Past_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,169.9071387000149,,Past_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,169.9090401000576,,Emotion_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,178.31512060004752,,Emotion_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,178.3170456000371,,Absorption_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,183.10093220009003,,Absorption_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 10,Friend Task
ESQ,183.1028220000444,,Other_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,192.05947080010083,,Other_response,3.8000000000000007,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,192.06014260009397,,Problem_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,201.58233780006412,,Problem_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,201.58421790006105,,Future_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,210.48945500003174,,Future_response,2.400000000000005,Experience Sampling Questions,1,Subkect088,,Marker Started at 7,Friend Task
ESQ,210.4914071999956,,Words_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,215.30931740009692,,Words_response,7.999999999999989,Experience Sampling Questions,1,Subkect088,,Marker Started at 5,Friend Task
ESQ,215.31120570003986,,Self_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,219.83118360000663,,Self_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,219.83306480001193,,Sounds_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,225.55289710010402,,Sounds_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,225.55475850007497,,Images_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,231.74010280007496,,Images_response,7.400000000000009,Experience Sampling Questions,1,Subkect088,,Marker Started at 10,Friend Task
ESQ,231.74201120005455,,Deliberate_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,241.06512110005133,,Deliberate_response,8.299999999999992,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,241.06700850010384,,Distracting_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,248.6195321000414,,Distracting_response,4.400000000000017,Experience Sampling Questions,1,Subkect088,,Marker Started at 10,Friend Task
ESQ,248.62146250007208,,Focus_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,254.5921979000559,,Focus_response,3.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 3,Friend Task
ESQ,254.5941278000828,,Knowledge_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,261.4980156000238,,Knowledge_response,10.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
ESQ,261.4999177000718,,Intrusive_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,265.7999358000234,,Intrusive_response,2.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 2,Friend Task
ESQ,265.8018144000089,,Detailed_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,271.2209882000461,,Detailed_response,9.099999999999987,Experience Sampling Questions,1,Subkect088,,Marker Started at 4,Friend Task
EXPERIMENT DATA:,Friend Task
Start Time,271.24172040005215
Self_Task_Start,284.9155417000875,,,,Friend Task,1,Subkect088,,,
Start_of_dependable,288.9848942999961,,,,Friend Task,1,Subkect088,,,
End_of_dependable,290.2032707000617,,,,Friend Task,1,Subkect088,right,,
Start_of_oversensitive,294.25641010003164,,,,Friend Task,1,Subkect088,,,
End_of_oversensitive,299.77723700006027,,,,Friend Task,1,Subkect088,None,,
Start_of_cruel,303.830626900075,,,,Friend Task,1,Subkect088,,,
End_of_cruel,304.9814944000682,,,,Friend Task,1,Subkect088,left,,
Start_of_ill-mannered,309.05128820007667,,,,Friend Task,1,Subkect088,,,
End_of_ill-mannered,310.90246010001283,,,,Friend Task,1,Subkect088,left,,
Start_of_sincere,314.955978800077,,,,Friend Task,1,Subkect088,,,
End_of_sincere,316.17386970005464,,,,Friend Task,1,Subkect088,right,,
Start_of_insincere,320.22688990004826,,,,Friend Task,1,Subkect088,,,
End_of_insincere,322.2951614999911,,,,Friend Task,1,Subkect088,left,,
Start_of_unpleasant,326.36497710004915,,,,Friend Task,1,Subkect088,,,
End_of_unpleasant,327.93289150006603,,,,Friend Task,1,Subkect088,left,,
Start_of_phony,332.0027154000709,,,,Friend Task,1,Subkect088,,,
End_of_phony,333.2376787000103,,,,Friend Task,1,Subkect088,left,,
Start_of_unattentive,337.3069211000111,,,,Friend Task,1,Subkect088,,,
End_of_unattentive,340.1095520000672,,,,Friend Task,1,Subkect088,left,,
Start_of_impractical,344.1793056000024,,,,Friend Task,1,Subkect088,,,
End_of_impractical,346.1307101000566,,,,Friend Task,1,Subkect088,left,,
Start_of_impolite,350.2005939000519,,,,Friend Task,1,Subkect088,,,
End_of_impolite,351.2851640000008,,,,Friend Task,1,Subkect088,left,,
Start_of_clumsy,355.35464430006687,,,,Friend Task,1,Subkect088,,,
End_of_clumsy,356.42182799999136,,,,Friend Task,1,Subkect088,left,,
Start_of_unappreciative,360.49220160010736,,,,Friend Task,1,Subkect088,,,
End_of_unappreciative,361.75974870007485,,,,Friend Task,1,Subkect088,left,,
Start_of_attentive,365.81313640007284,,,,Friend Task,1,Subkect088,,,
End_of_attentive,367.78167830000166,,,,Friend Task,1,Subkect088,right,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,368.30649250000715
ESQ,373.9662683000788,,Words_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,385.4129500000272,,Words_response,7.800000000000004,Experience Sampling Questions,1,Subkect088,,Marker Started at 9,Friend Task
ESQ,385.41490020009223,,Distracting_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,390.78384799999185,,Distracting_response,6.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 6,Friend Task
ESQ,390.78573180001695,,Images_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,397.4557679001009,,Images_response,8.899999999999997,Experience Sampling Questions,1,Subkect088,,Marker Started at 8,Friend Task
ESQ,397.45664820005186,,Sounds_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
ESQ,402.05796540004667,,Sounds_response,1.0,Experience Sampling Questions,1,Subkect088,,Marker Started at 9,Friend Task
ESQ,402.05983889999334,,Future_start,,Experience Sampling Questions,1,Subkect088,,,Friend Task
