METADATA:
Experiment Seed,Subject
4759713,sub137
Time after setup,5.124414500023704
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-10
EXPERIMENT DATA:,Two-Back Task
Start Time,16.243158700002823
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,118.03701270002057
ESQ,139.95572200001334,,Absorption_response,9.099999999999989,Experience Sampling Questions,1,sub137,,Marker Started at 2,Two-Back Task-scenes
ESQ,145.99255270001595,,Self_response,7.999999999999993,Experience Sampling Questions,1,sub137,,Marker Started at 6,Two-Back Task-scenes
ESQ,151.31352419999894,,Focus_response,1.0,Experience Sampling Questions,1,sub137,,Marker Started at 4,Two-Back Task-scenes
ESQ,159.0197985000268,,Distracting_response,1.0,Experience Sampling Questions,1,sub137,,Marker Started at 9,Two-Back Task-scenes
ESQ,167.39473240001826,,Deliberate_response,5.000000000000001,Experience Sampling Questions,1,sub137,,Marker Started at 4,Two-Back Task-scenes
ESQ,177.60146840001107,,Sounds_response,3.100000000000016,Experience Sampling Questions,1,sub137,,Marker Started at 10,Two-Back Task-scenes
ESQ,183.99105130002135,,Problem_response,4.600000000000002,Experience Sampling Questions,1,sub137,,Marker Started at 2,Two-Back Task-scenes
ESQ,190.41169710000395,,Knowledge_response,7.599999999999994,Experience Sampling Questions,1,sub137,,Marker Started at 6,Two-Back Task-scenes
ESQ,196.55231710002408,,Images_response,10.0,Experience Sampling Questions,1,sub137,,Marker Started at 3,Two-Back Task-scenes
ESQ,201.45417100001941,,Detailed_response,7.599999999999991,Experience Sampling Questions,1,sub137,,Marker Started at 5,Two-Back Task-scenes
ESQ,205.4572879000043,,Other_response,1.0,Experience Sampling Questions,1,sub137,,Marker Started at 4,Two-Back Task-scenes
ESQ,210.89660920001916,,Intrusive_response,5.900000000000004,Experience Sampling Questions,1,sub137,,Marker Started at 7,Two-Back Task-scenes
ESQ,217.218100099999,,Future_response,1.0,Experience Sampling Questions,1,sub137,,Marker Started at 3,Two-Back Task-scenes
ESQ,231.92896400002064,,Emotion_response,5.000000000000003,Experience Sampling Questions,1,sub137,,Marker Started at 2,Two-Back Task-scenes
ESQ,238.40087360001053,,Words_response,3.7000000000000024,Experience Sampling Questions,1,sub137,,Marker Started at 6,Two-Back Task-scenes
ESQ,243.43928089999827,,Past_response,10.0,Experience Sampling Questions,1,sub137,,Marker Started at 4,Two-Back Task-scenes
 
Runtime Mod,-13
EXPERIMENT DATA:,Two-Back Task
Start Time,243.45756910002092
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,335.9825261000078
ESQ,347.1404951000004,,Knowledge_response,7.999999999999989,Experience Sampling Questions,1,sub137,,Marker Started at 5,Two-Back Task-scenes
ESQ,353.89451330000884,,Focus_response,1.0,Experience Sampling Questions,1,sub137,,Marker Started at 3,Two-Back Task-scenes
ESQ,357.4974008999998,,Detailed_response,8.100000000000007,Experience Sampling Questions,1,sub137,,Marker Started at 10,Two-Back Task-scenes
ESQ,362.5842488000053,,Words_response,3.4000000000000163,Experience Sampling Questions,1,sub137,,Marker Started at 10,Two-Back Task-scenes
ESQ,368.1560601000092,,Future_response,2.7000000000000086,Experience Sampling Questions,1,sub137,,Marker Started at 8,Two-Back Task-scenes
ESQ,372.12741040001856,,Problem_response,6.0,Experience Sampling Questions,1,sub137,,Marker Started at 6,Two-Back Task-scenes
ESQ,378.082217600022,,Past_response,8.799999999999988,Experience Sampling Questions,1,sub137,,Marker Started at 3,Two-Back Task-scenes
ESQ,384.26854050002294,,Distracting_response,1.0,Experience Sampling Questions,1,sub137,,Marker Started at 8,Two-Back Task-scenes
ESQ,390.3405778000015,,Other_response,2.599999999999998,Experience Sampling Questions,1,sub137,,Marker Started at 5,Two-Back Task-scenes
ESQ,394.093712300004,,Images_response,10.0,Experience Sampling Questions,1,sub137,,Marker Started at 9,Two-Back Task-scenes
ESQ,397.5980793000199,,Deliberate_response,3.8000000000000016,Experience Sampling Questions,1,sub137,,Marker Started at 2,Two-Back Task-scenes
ESQ,401.48448660000577,,Sounds_response,3.0,Experience Sampling Questions,1,sub137,,Marker Started at 3,Two-Back Task-scenes
ESQ,406.1702070000174,,Intrusive_response,3.7000000000000166,Experience Sampling Questions,1,sub137,,Marker Started at 10,Two-Back Task-scenes
ESQ,410.9750946999993,,Emotion_response,6.699999999999996,Experience Sampling Questions,1,sub137,,Marker Started at 3,Two-Back Task-scenes
