METADATA:
Experiment Seed,Subject
107623,sub169
Time after setup,8.376158700004453
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Easy Math Task
Start Time,30.236620499999844
Math Task Start,22.474704200001725,,,,Easy Math Task,1,sub169,,,
fixation cross,22.48646049999661,,,,Easy Math Task,1,sub169,,,
Math Trial Start,24.52224330000172,,,,Easy Math Task,1,sub169,,,
Choice presented,24.541396799999347,,,,Easy Math Task,1,sub169,,,
Choice made,26.641443499996967,,,,Easy Math Task,1,sub169,,,
Math Trial End,26.641515600000275,True,,,Easy Math Task,1,sub169,,,
Math Trial End,26.641555599999265,True,,,Easy Math Task,1,sub169,,,
Math Trial Start,28.67283889999817,,,,Easy Math Task,1,sub169,,,
Choice presented,28.678179399998044,,,,Easy Math Task,1,sub169,,,
Choice made,30.52783669999917,,,,Easy Math Task,1,sub169,,,
Math Trial End,30.527912400000787,True,,,Easy Math Task,1,sub169,,,
Math Trial End,30.52795740000147,True,,,Easy Math Task,1,sub169,,,
Math Trial Start,32.55741699999635,,,,Easy Math Task,1,sub169,,,
Choice presented,32.56476059999841,,,,Easy Math Task,1,sub169,,,
Choice made,34.44753779999883,,,,Easy Math Task,1,sub169,,,
Math Trial End,34.447609199996805,True,,,Easy Math Task,1,sub169,,,
Math Trial End,34.447659600002225,True,,,Easy Math Task,1,sub169,,,
Math Trial Start,36.47857959999965,,,,Easy Math Task,1,sub169,,,
Choice presented,36.484531099995365,,,,Easy Math Task,1,sub169,,,
Choice made,38.400554799998645,,,,Easy Math Task,1,sub169,,,
Math Trial End,38.40058660000068,True,,,Easy Math Task,1,sub169,,,
Math Trial End,38.400616300001275,True,,,Easy Math Task,1,sub169,,,
Math Trial Start,40.42894309999974,,,,Easy Math Task,1,sub169,,,
Choice presented,40.43760559999646,,,,Easy Math Task,1,sub169,,,
Choice made,42.2374376000007,,,,Easy Math Task,1,sub169,,,
Math Trial End,42.23746769999707,True,,,Easy Math Task,1,sub169,,,
Math Trial End,42.237481399999524,True,,,Easy Math Task,1,sub169,,,
Math Trial Start,44.265288199996576,,,,Easy Math Task,1,sub169,,,
Choice presented,44.273854899998696,,,,Easy Math Task,1,sub169,,,
Choice made,46.10695979999582,,,,Easy Math Task,1,sub169,,,
Math Trial End,46.107042399999045,True,,,Easy Math Task,1,sub169,,,
Math Trial End,46.10708909999812,True,,,Easy Math Task,1,sub169,,,
