METADATA:
Experiment Seed,Subject
4616186,subject071 
Time after setup,53.69289849999768
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,14
EXPERIMENT DATA:,Two-Back Task
Start Time,96.78490959999908
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,270.4881432999973
ESQ,302.9564413999906,,Other_response,9.000000000000004,Experience Sampling Questions,1,subject071 ,,Marker Started at 10,Two-Back Task-faces
ESQ,319.971670599989,,Detailed_response,5.000000000000011,Experience Sampling Questions,1,subject071 ,,Marker Started at 8,Two-Back Task-faces
ESQ,337.0337534999999,,Words_response,7.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 7,Two-Back Task-faces
ESQ,345.70777409999573,,Absorption_response,8.999999999999986,Experience Sampling Questions,1,subject071 ,,Marker Started at 5,Two-Back Task-faces
ESQ,362.1057713999908,,Problem_response,9.399999999999988,Experience Sampling Questions,1,subject071 ,,Marker Started at 6,Two-Back Task-faces
ESQ,375.1647505000001,,Focus_response,1.500000000000015,Experience Sampling Questions,1,subject071 ,,Marker Started at 10,Two-Back Task-faces
ESQ,385.04076350000105,,Distracting_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 3,Two-Back Task-faces
ESQ,420.669493399997,,Knowledge_response,5.100000000000014,Experience Sampling Questions,1,subject071 ,,Marker Started at 9,Two-Back Task-faces
ESQ,425.99153639998985,,Sounds_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 7,Two-Back Task-faces
ESQ,429.82605540000077,,Intrusive_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 4,Two-Back Task-faces
ESQ,434.7633535999921,,Past_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 9,Two-Back Task-faces
ESQ,439.00147659999493,,Self_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 3,Two-Back Task-faces
ESQ,446.7730668000004,,Images_response,10.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 3,Two-Back Task-faces
ESQ,452.4437314999959,,Deliberate_response,8.49999999999999,Experience Sampling Questions,1,subject071 ,,Marker Started at 4,Two-Back Task-faces
ESQ,462.43682449999324,,Emotion_response,7.199999999999994,Experience Sampling Questions,1,subject071 ,,Marker Started at 3,Two-Back Task-faces
ESQ,470.1934570000012,,Future_response,2.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 4,Two-Back Task-faces
 
Runtime Mod,7
EXPERIMENT DATA:,Two-Back Task
Start Time,470.2146700000012
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,586.7221114999993
ESQ,612.54065119999,,Knowledge_response,5.8999999999999995,Experience Sampling Questions,1,subject071 ,,Marker Started at 2,Two-Back Task-faces
ESQ,628.621779299996,,Absorption_response,9.199999999999987,Experience Sampling Questions,1,subject071 ,,Marker Started at 4,Two-Back Task-faces
ESQ,632.958736399989,,Past_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 2,Two-Back Task-faces
ESQ,640.6815542999975,,Words_response,4.300000000000013,Experience Sampling Questions,1,subject071 ,,Marker Started at 9,Two-Back Task-faces
ESQ,643.6674312999967,,Intrusive_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 3,Two-Back Task-faces
ESQ,649.0883984999964,,Focus_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 2,Two-Back Task-faces
ESQ,653.4757138999994,,Future_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 4,Two-Back Task-faces
ESQ,657.9942324000003,,Problem_response,9.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 9,Two-Back Task-faces
ESQ,663.0498661999882,,Distracting_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 9,Two-Back Task-faces
ESQ,668.6042684999993,,Self_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 3,Two-Back Task-faces
ESQ,672.2905723000003,,Emotion_response,7.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 7,Two-Back Task-faces
ESQ,676.2088685999915,,Sounds_response,1.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 6,Two-Back Task-faces
ESQ,683.3981267999916,,Deliberate_response,9.399999999999984,Experience Sampling Questions,1,subject071 ,,Marker Started at 5,Two-Back Task-faces
ESQ,687.8698995000013,,Images_response,10.0,Experience Sampling Questions,1,subject071 ,,Marker Started at 4,Two-Back Task-faces
