METADATA:
Experiment Seed,Subject
4616186,subject071 
Time after setup,53.69288329999836
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Two-Back Task
Start Time,96.78489709999121
2-back Task Start,178.83835759999056,,,,Two-Back Task,1,subject071 ,,faces,
fixation cross,178.8752342999942,,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial Start,180.98645650000253,,,,Two-Back Task,1,subject071 ,,faces,
Choice presented,180.986485299989,,,,Two-Back Task,1,subject071 ,,faces,
Choice made,183.00955560000148,,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial End,183.00959390000207,False,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial Start,185.0565224999882,,,,Two-Back Task,1,subject071 ,,faces,
Choice presented,185.05654920000234,,,,Two-Back Task,1,subject071 ,,faces,
Choice made,187.07954559999052,,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial End,187.0795816000027,False,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial Start,189.1281117999897,,,,Two-Back Task,1,subject071 ,,faces,
Choice presented,189.128137599997,,,,Two-Back Task,1,subject071 ,,faces,
Choice made,191.14946729999792,,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial End,191.1495048999932,False,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial Start,193.2064154999971,,,,Two-Back Task,1,subject071 ,,faces,
Choice presented,193.20644339999126,,,,Two-Back Task,1,subject071 ,,faces,
Choice made,195.23605019999377,,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial End,195.23611430000165,False,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial Start,197.28769199999806,,,,Two-Back Task,1,subject071 ,,faces,
Choice presented,197.2877165999962,,,,Two-Back Task,1,subject071 ,,faces,
Choice made,199.32285339999362,,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial End,199.32289159999345,False,,,Two-Back Task,1,subject071 ,,faces,
2-back Trial Start,201.37165729999833,,,,Two-Back Task,1,subject071 ,,faces,
