METADATA:
Experiment Seed,Subject
972604,subject075
Time after setup,1053.1300741999876
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-13
EXPERIMENT DATA:,GoNoGo Task
Start Time,1191.2147733999882
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1313.5729076999996
ESQ,1340.5884763000067,,Other_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 10,GoNoGo Task
ESQ,1355.5845658000035,,Knowledge_response,2.0,Experience Sampling Questions,1,subject075,,Marker Started at 2,GoNoGo Task
ESQ,1368.0274609999906,,Intrusive_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1381.0051642000035,,Distracting_response,7.099999999999993,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1388.2440318000154,,Self_response,8.09999999999999,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1394.2320640000107,,Sounds_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1402.3724303999916,,Absorption_response,5.100000000000002,Experience Sampling Questions,1,subject075,,Marker Started at 2,GoNoGo Task
ESQ,1417.3008720999933,,Emotion_response,2.3,Experience Sampling Questions,1,subject075,,Marker Started at 7,GoNoGo Task
ESQ,1428.7934892000048,,Detailed_response,1.9999999999999991,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1436.632718000008,,Problem_response,6.999999999999996,Experience Sampling Questions,1,subject075,,Marker Started at 2,GoNoGo Task
ESQ,1445.1063249,,Images_response,1.7999999999999985,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1459.7346485999878,,Future_response,1.9999999999999991,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1467.9418821000145,,Focus_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1475.2973814000143,,Deliberate_response,2.0999999999999974,Experience Sampling Questions,1,subject075,,Marker Started at 5,GoNoGo Task
ESQ,1483.4537427999894,,Words_response,7.099999999999995,Experience Sampling Questions,1,subject075,,Marker Started at 2,GoNoGo Task
ESQ,1489.258330200013,,Past_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 10,GoNoGo Task
 
Runtime Mod,13
EXPERIMENT DATA:,GoNoGo Task
Start Time,1489.2766606000077
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1630.14078039999
ESQ,1641.3985473999928,,Images_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1652.1733907999878,,Emotion_response,5.000000000000001,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1662.0314514999918,,Intrusive_response,1.5,Experience Sampling Questions,1,subject075,,Marker Started at 7,GoNoGo Task
ESQ,1665.8015711999906,,Other_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 8,GoNoGo Task
ESQ,1673.641139799991,,Detailed_response,1.5,Experience Sampling Questions,1,subject075,,Marker Started at 6,GoNoGo Task
ESQ,1689.987389499991,,Distracting_response,2.0000000000000115,Experience Sampling Questions,1,subject075,,Marker Started at 9,GoNoGo Task
ESQ,1693.4404069000157,,Past_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1713.1064340000157,,Words_response,6.999999999999995,Experience Sampling Questions,1,subject075,,Marker Started at 10,GoNoGo Task
ESQ,1722.7139855000132,,Problem_response,5.000000000000002,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1726.8341586999886,,Future_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1734.8737925000023,,Self_response,8.099999999999996,Experience Sampling Questions,1,subject075,,Marker Started at 7,GoNoGo Task
ESQ,1754.0225313999981,,Focus_response,6.000000000000011,Experience Sampling Questions,1,subject075,,Marker Started at 9,GoNoGo Task
ESQ,1766.282319299993,,Absorption_response,7.500000000000009,Experience Sampling Questions,1,subject075,,Marker Started at 10,GoNoGo Task
ESQ,1779.3932718000142,,Deliberate_response,4.000000000000017,Experience Sampling Questions,1,subject075,,Marker Started at 10,GoNoGo Task
ESQ,1785.9818528000033,,Sounds_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 9,GoNoGo Task
ESQ,1802.077525300003,,Knowledge_response,1.9999999999999991,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
 
Runtime Mod,9
EXPERIMENT DATA:,GoNoGo Task
Start Time,1802.0892071000126
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1905.6797785999952
ESQ,1925.2100139000104,,Self_response,5.200000000000001,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1932.9829313000082,,Intrusive_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1946.861303999991,,Focus_response,5.100000000000014,Experience Sampling Questions,1,subject075,,Marker Started at 9,GoNoGo Task
ESQ,1961.7065028999932,,Future_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1968.0283164000139,,Images_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
ESQ,1973.349057000014,,Problem_response,4.0,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,1979.6873680000135,,Words_response,7.999999999999989,Experience Sampling Questions,1,subject075,,Marker Started at 5,GoNoGo Task
ESQ,1987.0598726999888,,Absorption_response,8.0,Experience Sampling Questions,1,subject075,,Marker Started at 8,GoNoGo Task
ESQ,1991.3471360999974,,Past_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 6,GoNoGo Task
ESQ,1997.3859953999927,,Knowledge_response,2.0,Experience Sampling Questions,1,subject075,,Marker Started at 2,GoNoGo Task
ESQ,2008.0276994000014,,Emotion_response,5.999999999999997,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,2012.813911300007,,Sounds_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 5,GoNoGo Task
ESQ,2022.3725049000059,,Distracting_response,2.4999999999999987,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,2029.728409400006,,Deliberate_response,4.0,Experience Sampling Questions,1,subject075,,Marker Started at 4,GoNoGo Task
ESQ,2049.460812800011,,Detailed_response,1.4000000000000117,Experience Sampling Questions,1,subject075,,Marker Started at 9,GoNoGo Task
ESQ,2055.5486719000037,,Other_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 3,GoNoGo Task
 
Runtime Mod,-15
EXPERIMENT DATA:,Finger Tapping Task
Start Time,2055.560337600007
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,2151.311407900008
ESQ,2163.970392899995,,Emotion_response,5.000000000000001,Experience Sampling Questions,1,subject075,,Marker Started at 4,Finger Tapping Task
ESQ,2181.03318269999,,Self_response,2.0,Experience Sampling Questions,1,subject075,,Marker Started at 10,Finger Tapping Task
ESQ,2185.887290200015,,Future_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 9,Finger Tapping Task
ESQ,2191.8249765000073,,Words_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 4,Finger Tapping Task
ESQ,2205.2030303000065,,Absorption_response,7.500000000000009,Experience Sampling Questions,1,subject075,,Marker Started at 10,Finger Tapping Task
ESQ,2208.7724925999937,,Other_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 4,Finger Tapping Task
ESQ,2218.046789999993,,Focus_response,9.000000000000004,Experience Sampling Questions,1,subject075,,Marker Started at 4,Finger Tapping Task
ESQ,2233.225931199995,,Deliberate_response,7.999999999999989,Experience Sampling Questions,1,subject075,,Marker Started at 5,Finger Tapping Task
ESQ,2241.516047000012,,Images_response,6.000000000000014,Experience Sampling Questions,1,subject075,,Marker Started at 10,Finger Tapping Task
ESQ,2246.9537423000147,,Distracting_response,1.0,Experience Sampling Questions,1,subject075,,Marker Started at 2,Finger Tapping Task
