METADATA:,,,,,,,,,,
Experiment Seed,Subject,,,,,,,,,
786827,subject142,,,,,,,,,
Time after setup,7.0197818,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 ,,,,,,,,,,
Runtime Mod,-10,,,,,,,,,
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,69.1521775,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,172.1308899,,,,,,,,,
ESQ,204.2807711,,Intrusive_response,5.2,Experience Sampling Questions,1,subject142,,Marker Started at 8,Memory Task
ESQ,215.172176,,Distracting_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 10,Memory Task
ESQ,227.08238,,Emotion_response,4.7,Experience Sampling Questions,1,subject142,,Marker Started at 9,Memory Task
ESQ,234.7889468,,Deliberate_response,8.3,Experience Sampling Questions,1,subject142,,Marker Started at 9,Memory Task
ESQ,243.1131281,,Problem_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 10,Memory Task
ESQ,250.333806,,Focus_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 6,Memory Task
ESQ,259.2092925,,Absorption_response,4.9,Experience Sampling Questions,1,subject142,,Marker Started at 9,Memory Task
ESQ,266.1298796,,Sounds_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 10,Memory Task
ESQ,274.036233,,Detailed_response,8,Experience Sampling Questions,1,subject142,,Marker Started at 4,Memory Task
ESQ,285.6786375,,Future_response,2.5,Experience Sampling Questions,1,subject142,,Marker Started at 10,Memory Task
ESQ,290.6007689,,Self_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 8,Memory Task
ESQ,300.6924468,,Past_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 7,Memory Task
ESQ,304.6612521,,Other_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 6,Memory Task
ESQ,310.3333633,,Knowledge_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 7,Memory Task
ESQ,316.2696514,,Words_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 6,Memory Task
ESQ,320.4076738,,Images_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 3,Memory Task
 ,,,,,,,,,,
Runtime Mod,-13,,,,,,,,,
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,320.4315318,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,392.9511494,,,,,,,,,
ESQ,404.4394265,,Detailed_response,9,Experience Sampling Questions,1,subject142,,Marker Started at 7,Memory Task
ESQ,408.4759253,,Other_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 4,Memory Task
ESQ,416.082442,,Absorption_response,9.6,Experience Sampling Questions,1,subject142,,Marker Started at 4,Memory Task
ESQ,420.3021535,,Words_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 5,Memory Task
ESQ,430.9437194,,Emotion_response,5.2,Experience Sampling Questions,1,subject142,,Marker Started at 3,Memory Task
ESQ,436.1645051,,Knowledge_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 6,Memory Task
ESQ,440.0177283,,Past_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 5,Memory Task
ESQ,453.129087,,Focus_response,5.8,Experience Sampling Questions,1,subject142,,Marker Started at 2,Memory Task
ESQ,461.2349081,,Distracting_response,5.5,Experience Sampling Questions,1,subject142,,Marker Started at 10,Memory Task
ESQ,464.7872378,,Self_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 9,Memory Task
ESQ,471.6438657,,Problem_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 2,Memory Task
ESQ,478.9828527,,Intrusive_response,2.4,Experience Sampling Questions,1,subject142,,Marker Started at 3,Memory Task
ESQ,483.5020245,,Future_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 2,Memory Task
ESQ,490.0905847,,Deliberate_response,5.4,Experience Sampling Questions,1,subject142,,Marker Started at 10,Memory Task
ESQ,494.5456182,,Sounds_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 6,Memory Task
ESQ,498.0968984,,Images_response,10,Experience Sampling Questions,1,subject142,,Marker Started at 7,Memory Task
 ,,,,,,,,,,
Runtime Mod,-10,,,,,,,,,
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,498.1123201,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,552.4770631,,,,,,,,,
ESQ,560.9814713,,Sounds_response,9,Experience Sampling Questions,1,subject142,,Marker Started at 9,Memory Task
