METADATA:,,,,,,,,,,
Experiment Seed,Subject,,,,,,,,,
786827,subject142,,,,,,,,,
Time after setup,7.019771,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,69.1521645,,,,,,,,,
Memory Task Starting,69.7578402,,,,Memory Task,1,subject142,,,
Memory Prompt Shown,92.1244216,,,,Memory Task,1,subject142,,,
Text Input Submitted,120.8176216,,,,Memory Task,1,subject142,,,
Ready Check Started,124.8348564,,,,Memory Task,1,subject142,,,
Ready Check Ended,150.0742895,,,,Memory Task,1,subject142,,,
Blank Memory Recall Period Started,170.0900121,,,,Memory Task,1,subject142,,,
Blank Memory Recall Period Ended,171.1073402,,,,Memory Task,1,subject142,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,172.1308176,,,,,,,,,
ESQ,194.4071455,,Intrusive_start,,Experience Sampling Questions,1,subject142,,,Memory Task
ESQ,204.2807711,,Intrusive_response,5.2,Experience Sampling Questions,1,subject142,,Marker Started at 8,Memory Task
ESQ,204.2812092,,Distracting_start,,Experience Sampling Questions,1,subject142,,,Memory Task
ESQ,215.172176,,Distracting_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 10,Memory Task
ESQ,215.1726225,,Emotion_start,,Experience Sampling Questions,1,subject142,,,Memory Task
ESQ,227.08238,,Emotion_response,4.7,Experience Sampling Questions,1,subject142,,Marker Started at 9,Memory Task
ESQ,227.0841516,,Deliberate_start,,Experience Sampling Questions,1,subject142,,,Memory Task
ESQ,234.7889468,,Deliberate_response,8.3,Experience Sampling Questions,1,subject142,,Marker Started at 9,Memory Task
ESQ,234.7898542,,Problem_start,,Experience Sampling Questions,1,subject142,,,Memory Task
ESQ,243.1131281,,Problem_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 10,Memory Task
ESQ,243.1148779,,Focus_start,,Experience Sampling Questions,1,subject142,,,Memory Task
ESQ,250.333806,,Focus_response,1,Experience Sampling Questions,1,subject142,,Marker Started at 6,Memory Task
ESQ,250.3355662,,Absorption_start,,Experience Sampling Questions,1,subject142,,,Memory Task
