METADATA:
Experiment Seed,Subject
4446888,subject198
Time after setup,26.840412199962884
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,66.60076369997114
gonogo START,66.60079920000862,,,,GoNoGo Task,1,subject198,,,
Go/NoGo Initialized,108.36031189997448,,,,GoNoGo Task,1,subject198,,,
Stimulus start,109.17400140000973,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,109.92924159998074,noResponse,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,110.73880029999418,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,111.99763120000716,noResponse,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,112.80755409999983,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,114.06581199995708,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,114.62511079997057,,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus end,115.38361550000263,True,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus start,116.19564329995774,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,117.20290719997138,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,118.00651819998166,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,119.2699816999957,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,120.07400359999156,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,121.33821979997447,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,122.39266499999212,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,123.1555723999627,noResponse,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,124.20963190001203,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,124.97310369997285,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,126.02891260001343,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,127.29304729995783,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,127.84775600000285,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,128.61071239999728,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,129.4246016999823,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,130.67908819997683,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,131.48203319997992,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,132.2462145999889,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,132.80010329996003,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,134.06467649998376,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,135.12041179998778,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,136.1332267000107,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,136.94263249996584,,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus end,138.2019113000133,True,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus start,138.75629749998916,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,139.76950910000596,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,140.8228431000025,,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus end,141.58775750000495,True,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus start,142.14242869999725,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,143.1556169000105,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,143.71192819997668,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,144.97371639998164,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,145.77668780001113,,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus end,146.54168789996766,True,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus start,147.34719639999093,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,148.60977959999582,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,149.66500989999622,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,150.67826959997183,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,151.482783799991,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,152.49563620000845,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,153.54900080000516,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,154.56467779999366,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,155.11862129997462,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,155.8824300999986,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,156.938932799967,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,157.70048659999156,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,158.50466450001113,,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus end,159.51864349999232,False,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus start,160.07250379998004,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,161.33681730000535,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,162.39248260000022,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,163.65545889997156,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,164.7111739999964,,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus end,165.47349459998077,True,,,GoNoGo Task,1,subject198,,Type: NoGo,
Stimulus start,166.52618939999957,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,167.2915090000024,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,168.09620460000588,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,169.3598970999592,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,170.41731300001265,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,171.17662499996368,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,172.23223419999704,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,173.49645629996667,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,174.55101499997545,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,175.3141300000134,noResponse,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,176.36929939995753,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,177.13258049997967,False,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus start,177.688493499998,,,,GoNoGo Task,1,subject198,,Type: Go,
Stimulus end,178.70083899999736,noResponse,,,GoNoGo Task,1,subject198,,Type: Go,
Go/NoGo Finished,178.72756099997787,,,,GoNoGo Task,1,subject198,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,178.7346256999881
ESQ,186.89806219999446,,Images_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,198.93227429996477,,Images_response,2.6000000000000005,Experience Sampling Questions,1,subject198,,Marker Started at 10,GoNoGo Task
ESQ,198.93410099996254,,Deliberate_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,200.14981460000854,,Deliberate_response,6.0,Experience Sampling Questions,1,subject198,,Marker Started at 6,GoNoGo Task
ESQ,200.15131779998774,,Detailed_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,209.50819560000673,,Detailed_response,3.400000000000013,Experience Sampling Questions,1,subject198,,Marker Started at 9,GoNoGo Task
ESQ,209.5100636999705,,Absorption_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,217.09653089998756,,Absorption_response,1.3999999999999995,Experience Sampling Questions,1,subject198,,Marker Started at 3,GoNoGo Task
ESQ,217.09813140000915,,Focus_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,226.58906069997465,,Focus_response,1.0,Experience Sampling Questions,1,subject198,,Marker Started at 10,GoNoGo Task
ESQ,226.59077989996877,,Other_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,233.89478520001285,,Other_response,1.8000000000000045,Experience Sampling Questions,1,subject198,,Marker Started at 7,GoNoGo Task
ESQ,233.89649770001415,,Past_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,241.53267129999585,,Past_response,1.0999999999999976,Experience Sampling Questions,1,subject198,,Marker Started at 5,GoNoGo Task
ESQ,241.53427409997676,,Intrusive_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,247.12193879997358,,Intrusive_response,8.49999999999999,Experience Sampling Questions,1,subject198,,Marker Started at 2,GoNoGo Task
ESQ,247.12345499999356,,Self_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,255.47853049996775,,Self_response,6.099999999999997,Experience Sampling Questions,1,subject198,,Marker Started at 4,GoNoGo Task
ESQ,255.47915679996368,,Future_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,261.13168039999437,,Future_response,3.600000000000013,Experience Sampling Questions,1,subject198,,Marker Started at 9,GoNoGo Task
ESQ,261.1325010000146,,Sounds_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
ESQ,265.418494499987,,Sounds_response,1.0,Experience Sampling Questions,1,subject198,,Marker Started at 7,GoNoGo Task
ESQ,265.4202166000032,,Emotion_start,,Experience Sampling Questions,1,subject198,,,GoNoGo Task
